strategy,risk_aversion,cec,gap_to_best_pct
full_simplex_optimal,2.0,1.4521712326513283,0.0
international_equity,2.0,1.4450555519145876,-0.4900028713383353
balanced_all_equity,2.0,1.350440905239199,-7.005394758192063
target_date_fund,2.0,1.2013459057208142,-17.27243463379764
domestic_equity,2.0,1.1545901268165246,-20.492149902425037
sixty_forty,2.0,1.1101149959904066,-23.55481426500966
bills_only,2.0,0.8408633441849757,-42.0961298999324
full_simplex_optimal,5.0,1.0547483429591313,0.0
international_equity,5.0,1.0414585300338415,-1.2599984644682927
balanced_all_equity,5.0,0.9951919403312481,-5.646503549917481
target_date_fund,5.0,0.9278166628485001,-12.034309506902874
sixty_forty,5.0,0.8672297577702099,-17.778514319617877
domestic_equity,5.0,0.8584283538064581,-18.61296966837521
bills_only,5.0,0.7338107303074995,-30.427884982614028
full_simplex_optimal,10.0,0.7581500729500075,0.0
international_equity,10.0,0.7425997702819351,-2.0510850322239205
balanced_all_equity,10.0,0.7254010921162243,-4.3195908042790165
target_date_fund,10.0,0.6982846477370335,-7.896250010243222
sixty_forty,10.0,0.6700426508097883,-11.621369605279853
domestic_equity,10.0,0.6554849198871845,-13.541534417235724
bills_only,10.0,0.6167247442052496,-18.654001864626014
