strategy,label,mean,p1,p5,p10,p25,p50,p75,p90,p95,p99
balanced_all_equity,50/50 Domestic/International Equity,179.29569636344254,0.0,0.0,0.0,7.161535543430363,37.45197656988308,114.85040198487489,281.868237658881,500.58757044490335,2573.918796928413
domestic_equity,100% Domestic Equity,2426.3159511036934,0.0,0.0,0.0,0.0,12.752449068808133,65.72697099781686,215.3875423193103,479.74165502225355,41034.480167819616
international_equity,100% International Equity,139.70075228108917,0.0,0.0,0.0,14.469231236352204,56.87425201989602,151.89378482991205,333.8196068034861,534.2410512647092,1249.1092449327339
sixty_forty,60/40 Domestic Equity/Domestic Bonds,138.02383993431621,0.0,0.0,0.0,0.0,9.999139570000771,37.419905348619004,105.23433803908202,212.70695114832202,3792.035617985898
target_date_fund,Target-Date Fund (glide path),35.29503221457127,0.0,0.0,0.0,0.2757063419835348,9.454845754615906,31.049750619770858,74.59341084573802,129.53766119630941,442.26850336088626
bills_only,100% Bills (cash),1.2610373885147554,0.0,0.0,0.0,0.0,0.0,0.9920552881860081,3.7960819043071696,6.705254090698078,15.88300923955533
