tier,n_paths,strategy,label,cec_crra_gamma5,prob_ruin,median_bequest
A,60331,balanced_all_equity,50/50 Domestic/International Equity,1.0541098812031007,0.11380550629029852,49.18144929743804
A,60331,domestic_equity,100% Domestic Equity,0.8779953281540255,0.2568165619664849,16.23563069039176
A,60331,international_equity,100% International Equity,1.138641350190904,0.0794450614112148,78.77805450375189
A,60331,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8668290341621488,0.24483267308680445,10.00803406343197
A,60331,target_date_fund,Target-Date Fund (glide path),0.9435941785857396,0.21861066450083705,9.854656819505966
A,60331,bills_only,100% Bills (cash),0.7370077204651551,0.5622979894250054,0.0
B,14828,balanced_all_equity,50/50 Domestic/International Equity,0.8631793953609117,0.27495279201510653,9.431475505642805
B,14828,domestic_equity,100% Domestic Equity,0.8091641887132759,0.3696385217156731,3.6939200079039223
B,14828,international_equity,100% International Equity,0.8473251203960195,0.28560830860534125,10.370939531011487
B,14828,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8239169239946161,0.3133935797140545,3.8661215095022667
B,14828,target_date_fund,Target-Date Fund (glide path),0.8455555678524829,0.3280280550310224,2.8560473603899843
B,14828,bills_only,100% Bills (cash),0.7277944296729028,0.6069598057728621,0.0
C,24841,balanced_all_equity,50/50 Domestic/International Equity,1.0126684036323579,0.13972867436898675,36.690476264866085
C,24841,domestic_equity,100% Domestic Equity,0.8709102184486205,0.2807052856165211,11.938414455183116
C,24841,international_equity,100% International Equity,1.0594663698118616,0.09713779638500865,52.11828961341731
C,24841,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.944041838075015,0.17700575661205264,16.412265763757514
C,24841,target_date_fund,Target-Date Fund (glide path),1.0019680072565291,0.1557103176200636,15.909526979573778
C,24841,bills_only,100% Bills (cash),0.7408460255973937,0.5984058612777263,0.0
