bucket,n_paths,optimal_domestic_share,cec_at_optimum,cec_at_worst,cec_at_low_end,cec_at_high_end,range_pct,margin_over_low_end_pct,margin_over_high_end_pct,margin_over_runner_up_pct,at_grid_edge
Low inflation,16223,0.1,1.1110654031858724,0.884724617652319,1.1001322931697277,0.884724617652319,25.58319063554093,0.9937995715628034,25.58319063554093,0.03072070611105371,False
Moderate,33621,0.1,1.1199650680083848,0.8943091773906611,1.1126213726649354,0.8943091773906611,25.23242479475869,0.6600354373797357,25.23242479475869,0.2572557435601919,False
High inflation,41573,0.1,1.1261988724210685,0.8769487758173663,1.1175308797832726,0.8769487758173663,28.422423689614806,0.7756378633113847,28.422423689614806,0.2255270977030044,False
