variant,mean_retire_age,cec,matched_fixed_date_cec,value_of_conditioning_pct,extrapolated,working_income_floor
"Flexible +/-3 years, 25x income",63.7551,0.7985412000590789,0.7855433480294057,1.6546320533779912,False,0.25
Wealth trigger 20x income,62.74324,0.8152469819510704,0.7912665536838138,3.030638430957744,False,0.25
Wealth trigger 25x income,64.22294,0.8071103679578235,0.7827639039493121,3.110320223719465,False,0.25
Wealth trigger 30x income,65.3356,0.7992650535164562,0.776153575097232,2.9776939977798733,False,0.25
"Flexible +/-3 years, 25x income",63.74032,0.7669728380592952,0.73750240028097,3.995978557777935,False,0.0
Wealth trigger 20x income,62.71754,0.7975189799291473,0.7495989747053018,6.3927522369791046,False,0.0
Wealth trigger 25x income,64.18576,0.7875928480985773,0.7317918894337713,7.625249674191181,False,0.0
Wealth trigger 30x income,65.28498,0.7761439559795061,0.7176999629488174,8.14323478442991,False,0.0
