leisure,leisure_pct,optimal_age,cec_at_optimum,runner_up_age,margin_over_runner_up_pct,at_grid_floor,at_grid_ceiling,system
1.0,0.0,60,0.7667754469071097,58,0.8909906027288583,False,False,us
1.05,5.000000000000004,60,0.7344579039059107,58,0.39150369921043815,False,False,us
1.1,10.000000000000009,58,0.7044825599093443,60,0.02429738376903412,False,False,us
1.15,14.999999999999991,58,0.6787236565631796,60,0.37201677621867546,False,False,us
1.2,19.999999999999996,58,0.654323941993504,60,0.6640317434749354,False,False,us
1.25,25.0,58,0.6312584126729199,60,0.9096504469934485,False,False,us
1.3,30.000000000000004,58,0.6094810482912018,60,1.1167203054710306,False,False,us
1.4,39.99999999999999,58,0.5695480985992855,55,0.27989944144659606,False,False,us
1.5,50.0,55,0.5365154070484014,58,0.47249593088114494,False,False,us
1.75,75.0,55,0.4684721935262312,52,1.1627082993564075,False,False,us
2.0,100.0,52,0.4152584930448833,55,0.34466802892390014,False,False,us
1.0,0.0,67,0.6291565049848444,70,1.8237391550195214,False,False,au_pension_only
1.05,5.000000000000004,67,0.6089926837258414,65,1.300365245991597,False,False,au_pension_only
1.1,10.000000000000009,67,0.5892482217919144,65,0.6668781841157934,False,False,au_pension_only
1.15,14.999999999999991,67,0.5700644384032751,65,0.09937474855581385,False,False,au_pension_only
1.2,19.999999999999996,65,0.5537814326182812,67,0.40657670655708245,False,False,au_pension_only
1.25,25.0,65,0.5383111863074889,67,0.857660760381429,False,False,au_pension_only
1.3,30.000000000000004,65,0.5231796186694951,63,0.7202820270325594,False,False,au_pension_only
1.4,39.99999999999999,63,0.4946735447587379,65,0.09856180425444894,False,False,au_pension_only
1.5,50.0,63,0.470693790587775,62,0.06532808163264292,False,False,au_pension_only
1.75,75.0,62,0.41841578984858296,60,0.24084749544295292,False,False,au_pension_only
2.0,100.0,60,0.37672476631442653,58,0.4243575937702193,False,False,au_pension_only
1.0,0.0,62,0.7295335562352026,60,0.3782960923878864,False,False,au_as_legislated
1.05,5.000000000000004,60,0.7015666985762105,62,0.07042518832971467,False,False,au_as_legislated
1.1,10.000000000000009,60,0.6771890459109617,62,0.45451288623661323,False,False,au_as_legislated
1.15,14.999999999999991,60,0.6537686270961945,58,0.21091629254283983,False,False,au_as_legislated
1.2,19.999999999999996,58,0.6321146029108502,60,0.11758085509414595,False,False,au_as_legislated
1.25,25.0,58,0.6124908688987203,60,0.4037277096778924,False,False,au_as_legislated
1.3,30.000000000000004,58,0.5935844259961309,60,0.6525977653799142,False,False,au_as_legislated
1.4,39.99999999999999,58,0.5580460347808623,55,0.6087641530962529,False,False,au_as_legislated
1.5,50.0,55,0.5264015445542197,58,0.15928908001612285,False,False,au_as_legislated
1.75,75.0,55,0.46323679380158134,52,1.1408194237440217,False,False,au_as_legislated
2.0,100.0,52,0.4122868511181307,55,0.316716134301398,False,False,au_as_legislated
