strategy,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
balanced all equity,0.8265128163261406,0.0967234861555981,4.978504697276009,False,0.1467,0.7388296610397573,1.5019698490508901,4.353917741494517
sixty forty,0.8069743650821465,0.11327070899842093,5.18251805433434,False,0.24845,0.6581902000699591,1.266825503205102,4.557931098552848
target date fund,0.8194364634522544,0.10297842236118922,5.175095264367702,False,0.22815,0.6940028384282897,1.3332356691705058,4.55050830858621
bills only,0.7733482624014745,0.14741993336901102,5.734419478033614,False,0.5806,0.5754914400835413,0.9814888827984536,5.109832522252122
