age_death,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
83,balanced_all_equity,50/50 Domestic/International Equity,1.4250866222197756,1.0518747406439697,0.7819287969881775,1.770883010549416,1.2766790162740993,0.925095513929508,0.05036,20.07978708978618,28.077218070225502,28.694985768247847,78.4548243907079,0.0,0.0592,1.4557932948267471,1.771144273760647,2.6873696789212733,0.0,0.5566870650158009,5.0659178183957945,0.7144769345842832,7.035498552549397,2.0016249263208135,0.8252770998431924,11.766029836601142,9.943393224461115,1.0672039173652101,20.07978708978618,28.694985768247847,1.4557932948267471,33.55369986712904,69.40609150252938,2.0507112285595173,54.466807838331654,148.6846160696669,2.9303362844105547,75.29848608855988,246.84079401483544,3.7698451341174346,149.3909725228749,910.5496408761041,6.702638572206697,1.075741161498871,0.029370595621348285,0.1535,1.4346724118449559,0.8361431112686635
83,domestic_equity,100% Domestic Equity,1.2292700950311788,0.9071259776279081,0.6926901961922333,1.444652956173858,1.0434626252908024,0.7857649278366874,0.13416,15.108063489633508,34.79101091688022,14.165696813710298,408.3743143802996,0.0,0.14922,1.247628152432397,2.0148940746719064,1.0778279668581936,0.0,0.4868853036408403,2.77330293997912,0.6083957676481737,4.265057818531017,0.0,0.6975892679002896,8.018693736533397,2.516180843661368,0.9026437294709405,15.108063489633508,14.165696813710298,1.247628152432397,28.356738937573702,45.79073639774024,1.8222567305051371,52.16465545939455,124.26684670182188,2.7906746675281995,80.78125090733201,241.10369730717488,3.921796773472039,448.91265266005485,8258.289498959413,18.327372807346777,1.075741161498871,0.06401681522186671,0.29474,1.225075868946167,0.7284413047185382
83,international_equity,100% International Equity,1.5163989090361005,1.094830517055713,0.7910667430646023,1.9373964776567043,1.3531894305793541,0.9419658995373719,0.04864,23.035540431490276,30.15229022351887,38.57383207576839,75.08495419753844,0.0,0.05478,1.575013614105209,1.8535019670856163,2.7501892646303143,0.0,0.5622321397496506,5.686238170261025,0.7413053086988987,7.988652904866822,3.5039626151960017,0.8658045986247758,13.66677526047373,14.788215102144543,1.1422428579117427,23.035540431490276,38.57383207576839,1.575013614105209,37.837935050006806,86.37764722085777,2.2167633957036523,59.073372819766924,172.97799082635905,3.112887703600472,78.21159458990947,261.66365145928177,3.884265314854545,131.10497507722405,584.5405091224053,6.0036506279472475,1.075741161498871,0.02349652536344066,0.12144,1.552961515291112,0.8598013038855578
83,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1727923561257403,0.9098002123849239,0.7061686909825415,1.3565665400490134,1.041409358363896,0.7999355536027505,0.09392,13.249682217898874,19.651795287578214,11.636038563478166,53.12075637585044,0.0,0.10636,1.1821590185763449,1.4314790907385253,1.4310814832954692,0.0,0.4994333180338304,3.1520702894973804,0.6217755347516238,4.559938476842688,0.0,0.7068972333764495,7.846680126887922,3.3520598347016097,0.8927574163784348,13.249682217898874,11.636038563478166,1.1821590185763449,21.968692599811543,29.475838095572293,1.6009513625345926,35.87841571381974,67.55904288537813,2.2084297707243357,50.9842513542967,118.74266282063496,2.8327740044053913,142.21569584197516,1172.3602025012513,6.366261543044215,1.075741161498871,0.06212893805797068,0.30482,1.1639147583759926,0.7449256183219753
83,target_date_fund,Target-Date Fund (glide path),1.2735942358884904,0.9830438771558929,0.7489000337647345,1.4703395628692364,1.134030244113281,0.8628324535668552,0.06738,15.986860242486866,21.07453590313687,12.886346199641729,27.187400336549178,0.0,0.0803,1.293360361803102,1.4913999311096495,2.3124408935542955,0.0,0.5338648931211589,4.374803745129028,0.6729335727309262,6.030032247938457,0.5510142695362402,0.7716170767408119,9.815393537548335,4.630458545789519,0.976243472976687,15.986860242486866,12.886346199641729,1.293360361803102,25.48951463450951,28.73260408424233,1.7418150571272126,39.64149375918954,57.76893344112269,2.3586251193257244,53.2167420996767,90.3888525641188,2.9137093199689454,102.07778187507458,262.4736970090333,4.823054735940963,1.075741161498871,0.04039917959756382,0.21196,1.2727421230048015,0.8019280098740497
83,bills_only,100% Bills (cash),0.8862104157835193,0.7646094370711862,0.6417758360487159,0.9296730528559383,0.8174823889849465,0.6934673356245417,0.1375,6.257984594468308,7.094630093780546,1.675224103521527,2.7830434901246317,0.0,0.16984,0.8853945781915393,0.9356376961771296,0.9511390526530032,0.0,0.4643948668505601,1.980796549864457,0.5470482766073187,2.7357713182338035,0.0,0.602628649560998,4.1895844903602555,0.3697430030009238,0.7179102570684401,6.257984594468308,1.675224103521527,0.8853945781915393,9.0127155221484,3.7403480034171914,1.1047996553284158,12.405164482196659,6.820667138966419,1.3275879493506424,14.882659127990014,9.558610348991033,1.4766125424905077,21.15580652559472,17.272305191652183,1.8276982450809465,1.075741161498871,0.15863183213736964,0.76416,0.8955563061238989,0.6798274297997392
88,balanced_all_equity,50/50 Domestic/International Equity,1.3877942349713406,1.0266827147227267,0.7573267056190145,1.6584289386692945,1.2096487231752096,0.8868850294077383,0.09858,20.07978708978618,28.077218070225502,32.18809721108087,115.64249039334007,0.0,0.10864,1.4459352422551905,1.7572964154259134,2.6873696789212733,0.0,0.53274432617575,5.0659178183957945,0.6920803020444826,7.035498552549397,0.0,0.8070133158029422,11.766029836601142,8.637062460186147,1.0529183192739742,20.07978708978618,32.18809721108087,1.4459352422551905,33.55369986712904,88.12627473643049,2.0405111691602325,54.466807838331654,202.9240907565491,2.9152443514819826,75.29848608855988,351.6925617356301,3.758935940129716,149.3909725228749,1593.2586368202356,6.671259107843328,1.075741161498871,0.031304055864922645,0.16062,1.4245787474754947,0.8255208452342089
88,domestic_equity,100% Domestic Equity,1.1916886351348444,0.883754401953037,0.6751626296863777,1.358826555091332,0.9970276552201388,0.7593409790328653,0.21186,15.108063489633508,34.79101091688022,13.435711055027443,975.7514950811246,0.0,0.22646,1.2258555224742451,1.9886511127991684,1.0778279668581936,0.0,0.47103316839854803,2.77330293997912,0.5874783347279153,4.265057818531017,0.0,0.674025184565185,8.018693736533397,0.5598146007735126,0.8794742842529184,15.108063489633508,13.435711055027443,1.2258555224742451,28.356738937573702,53.62273314740152,1.8018200885512587,52.16465545939455,161.58292973240484,2.7614310625151415,80.78125090733201,345.720577204203,3.874619969754982,448.91265266005485,18161.61283013069,18.169616184895833,1.075741161498871,0.06885760993980751,0.31154,1.2067987258940835,0.7195747857863787
88,international_equity,100% International Equity,1.4783534433943553,1.068689200706024,0.7658756887030821,1.8136592668495164,1.2827486399640033,0.9035664762768564,0.08122,23.035540431490276,30.15229022351887,46.08845010865899,101.20848017365076,0.0,0.08888,1.5648669208345565,1.8410266953673464,2.7501892646303143,0.0,0.5407269744913217,5.686238170261025,0.7204493581738315,7.988652904866822,0.9289754167083258,0.8481983039110192,13.66677526047373,14.673329481402565,1.1279959014760021,23.035540431490276,46.08845010865899,1.5648669208345565,37.837935050006806,112.95109253638762,2.2086864888966486,59.073372819766924,238.45955982184717,3.101919177737464,78.21159458990947,371.8606215266859,3.870727075922319,131.10497507722405,871.2856109454336,5.978076936315022,1.075741161498871,0.02503494179647049,0.12764,1.5439550450021253,0.8516461808524097
88,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1421613680349798,0.8908244196244317,0.6900384474562333,1.2772540243025723,0.9924092159498401,0.7705426281263206,0.16512,13.249682217898874,19.651795287578214,10.827708954506416,83.80842277846762,0.0,0.18058,1.1685345306051524,1.4182565588855336,1.4310814832954692,0.0,0.48540646675251997,3.1520702894973804,0.6042833777311039,4.559938476842688,0.0,0.6895082551684969,7.846680126887922,1.5905682677302362,0.8778118173416924,13.249682217898874,10.827708954506416,1.1685345306051524,21.968692599811543,32.76546571829461,1.589830164584567,35.87841571381974,83.03706468760632,2.195822836451396,50.9842513542967,158.23321113838466,2.8184840246948664,142.21569584197516,2182.333641564446,6.351286134175039,1.075741161498871,0.06660694276079847,0.32008,1.1528146693652426,0.7340332880022601
