rival,crossing_credit,crossing_pct,equivalent_credit_bp,reached_on_grid,lead_at_zero_pct
balanced_all_equity,0.16374766359210735,16.374766359210735,62.53125713190033,True,5.139754771770821
target_date_fund,inf,inf,inf,False,14.311220866199825
domestic_equity,inf,inf,inf,False,22.40858622758637
