step,cec,prob_ruin,change,share_of_gap_pct
US social security,1.0408934930149836,0.11872,,
+ pension age 67,0.9573924984390352,0.11872,-0.0835009945759484,25.869745508506444
+ means test,0.42690123016332865,0.11872,-0.5304912682757066,164.35342087207079
+ super guarantee,0.7223411587603107,0.11872,0.29543992859698204,-91.5313141438523
+ Australian tax,0.7181187886852028,0.11872,-0.00422237007510784,1.3081477632750986
