round,plan,rule,rate,retire_age,cec_at_incoming_schedule,cec_after_resolving,mean_equity,mean_domestic,plan_unchanged
0,"constant_percent at 7.0%, retire at 63",constant_percent,0.07,63,1.192885147691537,1.310019280799396,1.0,0.08088235294117646,False
1,"constant_percent at 7.0%, retire at 63",constant_percent,0.07,63,1.3100192807993938,1.310019280799396,1.0,0.08088235294117646,True
