bucket,n_paths,challenger_cec,incumbent_cec,advantage_pct,challenger_ruin,incumbent_ruin
Low inflation,17333,1.0819105584317958,1.0064899226142552,7.493431789326133,0.08890555587607454,0.15444527779380374
Moderate,36693,1.11440959730666,1.0017683162341444,11.244244726760533,0.10846755511950508,0.20243643201700598
High inflation,41953,0.9889790706686443,0.8824402626410341,12.073203426683277,0.14244511715491145,0.27244773913665293
