band,step,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
0.1,0.01,0.7953253054535907,0.09971053947368419,1.2576676377179297,False,0.1467,0.7005295493160725,1.4148182816598436,0.6330806819364376
0.1,0.02,0.8001900295261672,0.09911484210526321,1.8286965928137056,False,0.1467,0.7054314115234949,1.425940484351144,1.2041096370322135
0.1,0.03,0.8045404882752546,0.09848328343265955,2.3308509277791822,False,0.1467,0.7103437124698606,1.4355979784797261,1.7062639719976902
0.1,0.05,0.8119930142872359,0.09707831761013054,3.1633852372382254,False,0.1467,0.7147983365553696,1.44990130652509,2.5387982814567334
0.2,0.01,0.795180072169058,0.09956951315789472,1.2278032761153135,False,0.1467,0.6999965413561038,1.4130409619501718,0.6032163203338214
0.2,0.02,0.799949072700956,0.09890581578947373,1.7810913103216919,False,0.1467,0.7049417020261152,1.423007532754396,1.1565043545401998
0.2,0.03,0.804248651745148,0.0982200344257054,2.272302485427069,False,0.1467,0.709165771545282,1.4298839894761286,1.647715529645577
0.2,0.05,0.8117644568277554,0.09675390392260104,3.1077528619968264,False,0.1467,0.7128757065451015,1.4430252047580305,2.4831659062153344
0.35,0.01,0.7947968949892699,0.09925534210526316,1.1537075122411533,False,0.1467,0.6986111133150913,1.4081766025842235,0.5291205564596613
0.35,0.02,0.7991865824794265,0.09841781578947373,1.6445821363605617,False,0.1467,0.7025254922568818,1.4147492531031016,1.0199951805790697
0.35,0.03,0.8031620441490679,0.09762386155248114,2.085692422097951,False,0.1467,0.7058243833719988,1.4192605812604588,1.461105466316459
0.35,0.05,0.8101616521400112,0.09606528839792765,2.8478763099580418,False,0.1467,0.709444021720992,1.4291795644124654,2.2232893541765497
