era,first_year,last_year,mean_dividend_share,credit_bp
whole panel,1890,2020,0.038187572121740086,163.66102337888609
1890-1949,1890,1949,0.04390498965836782,188.16424139300494
1950-1989,1950,1989,0.03820066468698136,163.71713437277728
1990-2020,1990,2020,0.028055047268015103,120.2359168629219
