system,system_label,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption
us_social_security,US Social Security (the paper's baseline),balanced_all_equity,50/50 Domestic/International Equity,1.0493326019515596,1.2495718040694184,0.11702,21.241196132752656,45.10225254316637,0.7485574886332116,1.7281313418640618
us_social_security,US Social Security (the paper's baseline),domestic_equity,100% Domestic Equity,0.883032681245246,0.9946675020000494,0.25162,16.11274390040957,16.860616244265508,0.6275218416153541,1.5289500373480285
us_social_security,US Social Security (the paper's baseline),international_equity,100% International Equity,1.1094293553441226,1.358729044037208,0.09082,24.476381717006852,64.50011930664564,0.7939236594749478,1.9032114005483318
us_social_security,US Social Security (the paper's baseline),sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8721035565230777,0.9642860592059871,0.23958,13.334474649517173,10.34024153653382,0.6226755637710008,1.2914387512734997
us_social_security,US Social Security (the paper's baseline),target_date_fund,Target-Date Fund (glide path),0.9446112745066872,1.0543052918276805,0.2202,16.403590691546725,9.543584326860367,0.6826141908517536,1.4202319297920956
us_social_security,US Social Security (the paper's baseline),bills_only,100% Bills (cash),0.7387454649380522,0.7661232237338004,0.5601,6.366825381279742,0.0,0.5406270168912519,0.9065108972927082
us_matched_saving,"US Social Security, saving 20.2%",balanced_all_equity,50/50 Domestic/International Equity,1.27704444218058,1.6841006040020943,0.11702,42.90721618816035,91.10655013719617,0.9937170003863315,2.8184250517367473
us_matched_saving,"US Social Security, saving 20.2%",domestic_equity,100% Domestic Equity,0.9992557984738258,1.2023295710935644,0.25162,32.54774267882732,34.058444813416244,0.7447862388301331,2.4160788166143616
us_matched_saving,"US Social Security, saving 20.2%",international_equity,100% International Equity,1.366192887162388,1.8649921314542885,0.09082,49.44229106835387,130.29024099942413,1.0765187467591504,3.1720867702789706
us_matched_saving,"US Social Security, saving 20.2%",sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.0068703349940673,1.182108755227792,0.23958,26.93563879202469,20.887287903798338,0.7438434766448109,1.9363060187438124
us_matched_saving,"US Social Security, saving 20.2%",target_date_fund,Target-Date Fund (glide path),1.1091522553651552,1.3580943232549378,0.2202,33.13525319692437,19.278040340257945,0.8615297392923852,2.196468239351375
us_matched_saving,"US Social Security, saving 20.2%",bills_only,100% Bills (cash),0.8420496871159331,0.9079508075160461,0.5601,12.860987270185078,0.0,0.621121670098346,1.1587517537026122
age_pension_untested,"Age Pension rate, paid to everyone (no means test)",balanced_all_equity,50/50 Domestic/International Equity,0.9089219194262154,1.1301467651461805,0.11702,21.241196132752656,45.10225254316637,0.672706876036408,1.518202306740998
age_pension_untested,"Age Pension rate, paid to everyone (no means test)",domestic_equity,100% Domestic Equity,0.7410915371170463,0.8659709118145666,0.25162,16.11274390040957,16.860616244265508,0.5402577117275602,1.319021002224965
age_pension_untested,"Age Pension rate, paid to everyone (no means test)",international_equity,100% International Equity,0.9664877362250611,1.2368602971304663,0.09082,24.476381717006852,64.50011930664564,0.7126311397517304,1.6932823654252684
age_pension_untested,"Age Pension rate, paid to everyone (no means test)",sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.7395840599667051,0.8448882313501687,0.23958,13.334474649517173,10.34024153653382,0.5439696991585187,1.0815097161504366
age_pension_untested,"Age Pension rate, paid to everyone (no means test)",target_date_fund,Target-Date Fund (glide path),0.8059253553995984,0.9390359680983221,0.2202,16.403590691546725,9.543584326860367,0.604457314973768,1.2103028946690315
age_pension_untested,"Age Pension rate, paid to everyone (no means test)",bills_only,100% Bills (cash),0.6250558654047768,0.6634530815071429,0.5601,6.366825381279742,0.0,0.5032469022154702,0.6965818621696431
age_pension_matched,"Australian Age Pension, saving 10%",balanced_all_equity,50/50 Domestic/International Equity,0.4129805244728724,0.7366233502282443,0.11702,21.241196132752656,45.10225254316637,0.3620410199667757,1.1318082176890112
age_pension_matched,"Australian Age Pension, saving 10%",domestic_equity,100% Domestic Equity,0.3123266925170931,0.6502366320980832,0.25162,16.11274390040957,16.860616244265508,0.3498846434807633,1.003997632275179
age_pension_matched,"Australian Age Pension, saving 10%",international_equity,100% International Equity,0.3796779379644664,0.7775119280937298,0.09082,24.476381717006852,64.50011930664564,0.3709332258339344,1.289420228366173
age_pension_matched,"Australian Age Pension, saving 10%",sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.3623448223307883,0.6369140676462877,0.23958,13.334474649517173,10.34024153653382,0.35857256409158933,0.7823468491978287
age_pension_matched,"Australian Age Pension, saving 10%",target_date_fund,Target-Date Fund (glide path),0.47503031130224693,0.6798046212556493,0.2202,16.403590691546725,9.543584326860367,0.39221414229347723,0.8838098954146537
age_pension_matched,"Australian Age Pension, saving 10%",bills_only,100% Bills (cash),0.5562205674096519,0.6111454596941219,0.5601,6.366825381279742,0.0,0.48453840302192186,0.6174262385008578
australia_as_legislated,"Australia as legislated: 10% voluntary + 12% SG, means-tested pension",balanced_all_equity,50/50 Domestic/International Equity,0.64111077903984,1.028418205208026,0.11702,42.90721618816035,91.10655013719617,0.5501253403667776,2.191729230470312
australia_as_legislated,"Australia as legislated: 10% voluntary + 12% SG, means-tested pension",domestic_equity,100% Domestic Equity,0.45725414273804055,0.7969808713137836,0.25162,32.54774267882732,34.058444813416244,0.455232800545618,1.8445275293717738
australia_as_legislated,"Australia as legislated: 10% voluntary + 12% SG, means-tested pension",international_equity,100% International Equity,0.599936473560358,1.1235427394476043,0.09082,49.44229106835387,130.29024099942413,0.6054676014755525,2.535567811429441
australia_as_legislated,"Australia as legislated: 10% voluntary + 12% SG, means-tested pension",sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.5000090016007354,0.787779831937365,0.23958,26.93563879202469,20.887287903798338,0.46053275163730534,1.3663394629374017
australia_as_legislated,"Australia as legislated: 10% voluntary + 12% SG, means-tested pension",target_date_fund,Target-Date Fund (glide path),0.6546978833282056,0.8891604835644746,0.2202,33.13525319692437,19.278040340257945,0.530754302799807,1.6049253855869186
australia_as_legislated,"Australia as legislated: 10% voluntary + 12% SG, means-tested pension",bills_only,100% Bills (cash),0.5887666343626328,0.6739578171200287,0.5601,12.860987270185078,0.0,0.5089082811437938,0.7496351806098613
australia_non_homeowner,"Australia as legislated, non-homeowner thresholds",balanced_all_equity,50/50 Domestic/International Equity,0.7002744307565362,1.1616502510680964,0.11702,42.90721618816035,91.10655013719617,0.5962976296240864,2.206633107585859
australia_non_homeowner,"Australia as legislated, non-homeowner thresholds",domestic_equity,100% Domestic Equity,0.5175807973655052,0.9028894678147432,0.25162,32.54774267882732,34.058444813416244,0.5112313463584104,1.8697328278617318
australia_non_homeowner,"Australia as legislated, non-homeowner thresholds",international_equity,100% International Equity,0.6633328160483836,1.2545696493575988,0.09082,49.44229106835387,130.29024099942413,0.6357988751127225,2.54619079823868
australia_non_homeowner,"Australia as legislated, non-homeowner thresholds",sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.5721325584596995,0.8958928484092051,0.23958,26.93563879202469,20.887287903798338,0.5208644339083797,1.398471134518944
australia_non_homeowner,"Australia as legislated, non-homeowner thresholds",target_date_fund,Target-Date Fund (glide path),0.7292108080169202,1.0089086178265667,0.2202,33.13525319692437,19.278040340257945,0.5920460209982943,1.6327087524289292
australia_non_homeowner,"Australia as legislated, non-homeowner thresholds",bills_only,100% Bills (cash),0.6673863544092833,0.7594862232542845,0.5601,12.860987270185078,0.0,0.5489657883661518,0.8278787465669661
