era,first_year,last_year,mean_dividend_share,drag_bp
whole panel,1890,2020,0.03832442423649119,57.48663635473679
1890-1949,1890,1949,0.043755935553879424,65.63390333081914
1950-1989,1950,1989,0.03821922958311725,57.32884437467586
1990-2020,1990,2020,0.027947556723319063,41.9213350849786
