asset,mean,sd,return_per_unit_risk,correlation_with_housing,holding_cost_applied,equity_leg_correlation
housing,0.047909352340737794,0.14531386168286775,0.32969567931031196,0.9999999999999998,0.02,0.4037413362435367
dom_eq,0.06634918942354183,0.22984555527915368,0.28866857722334,0.1890519647342423,0.0,0.4037413362435367
intl_eq,0.08177188670374111,0.22614766987432613,0.3615862447275404,0.09039193175924433,0.0,0.4037413362435367
bond,0.01768519956570748,0.12215149705160575,0.1447808663223829,0.19663532680692794,0.0,0.4037413362435367
bill,0.004772363417107788,0.08227416758968875,0.05800561168735421,0.31680546902024265,0.0,0.4037413362435367
