risk_aversion,age,solved_equity_share,cec_solved,cec_if_forced_to_reference,cost_of_forcing_bp
2.0,25,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,26,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,27,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,28,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,29,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,30,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,31,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,32,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,33,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,34,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,35,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,36,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,37,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,38,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,39,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,40,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,41,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,42,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,43,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,44,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,45,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,46,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,47,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
2.0,48,1.0,1.4518122377718405,1.4518122377718319,5.995204332975845e-11
