weighting,label,observations,mean,sd,return_per_unit_risk,correlation_with_domestic
equal,Equal-weighted,2010,0.08333720548691888,0.2168675895847343,0.38427690207880255,0.42934318622829026
gdp,Real GDP,2010,0.09049089959699877,0.24323241587333688,0.3720347029900893,0.35713371645610587
pop,Population,2010,0.09360677026831758,0.2603543581311818,0.35953602213623403,0.3328544219964069
gdp_pc,GDP per capita,2010,0.0830484484166707,0.2131129450714778,0.38969218124603533,0.4364042590353306
inverse_vol,Inverse volatility,2010,0.07793515713064487,0.20799933038860288,0.37468946166816725,0.4345816180612309
