era,observations,mean_synthetic_share_of_intl_leg
whole panel,2010,0.37981678442395017
1890-1929,571,0.23301645480756591
1930-1969,624,0.340487213553135
1970-1999,480,0.4578786178684759
2000-2020,335,0.5914435318298357
