weighting,label,year,markets,herfindahl,effective_markets,largest_share,largest_market,top3_share
equal,Equal-weighted,1960,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1961,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1962,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1963,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1964,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1965,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1966,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1967,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1968,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1969,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1970,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1971,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1972,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1973,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1974,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1975,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1976,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1977,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1978,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1979,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1980,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1981,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1982,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1983,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1984,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1985,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1986,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1987,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1988,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1989,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1990,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1991,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1992,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1993,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1994,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1995,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1996,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1997,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1998,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,1999,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2000,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2001,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2002,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2003,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2004,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2005,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2006,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2007,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2008,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2009,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2010,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2011,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2012,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2013,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2014,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2015,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2016,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2017,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2018,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2019,16,0.0625,16.0,0.0625,-,0.1875
equal,Equal-weighted,2020,16,0.0625,16.0,0.0625,-,0.1875
gdp,Real GDP,1890,12,0.18333864944112482,5.4543872939411395,0.2954884734318263,USA,0.6654335343295772
gdp,Real GDP,1891,12,0.18199557630435403,5.494639047312251,0.2936627717239132,USA,0.6626831941864606
gdp,Real GDP,1892,12,0.18424299421194887,5.427614788161894,0.30148860521022935,USA,0.6642252189656188
gdp,Real GDP,1893,12,0.1900417648650058,5.2620012275214325,0.3190379901126134,USA,0.6706255147975233
