rule,n_paths,optimal_domestic_share,cec_at_optimum,cec_at_worst,cec_at_low_end,cec_at_high_end,range_pct,margin_over_low_end_pct,margin_over_high_end_pct,margin_over_runner_up_pct,at_grid_edge
constant_real,20000,0.2,1.067792808201484,0.9650816654323577,1.0620070649958213,0.9650816654323577,10.642741070322948,0.5447932877626904,10.642741070322948,0.11032657950158509,False
vanguard_dynamic,20000,0.2,1.1628185563480706,0.9879212109217665,1.1535024625465424,0.9879212109217665,17.70357225786441,0.8076353630803279,17.70357225786441,0.007999568333993956,False
guyton_klinger,20000,0.1,1.2251086974997625,1.0628265297511903,1.2230909776724785,1.0628265297511903,15.268923310237902,0.1649689078014216,15.268923310237902,0.1649689078014216,False
endowment,20000,0.1,1.2332308749172782,1.0661429059213963,1.2300113751352577,1.0661429059213963,15.672192542657214,0.26174552911484295,15.672192542657214,0.1997393911990386,False
constant_percent,20000,0.1,1.2481553433261532,1.0755216989305663,1.246765728941449,1.0755216989305663,16.051154018300462,0.11145753788757151,16.051154018300462,0.11145753788757151,False
life_expectancy,20000,0.1,1.2177127201141398,1.0899106517831691,1.2163206035289984,1.0899106517831691,11.725921580991772,0.11445309576294527,11.725921580991772,0.11445309576294527,False
