equity_share,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
0.0,eq0.00,0% equity / 100% fixed income,0.9045338869753927,0.7684414821000431,0.6307094855995994,0.935989085432433,0.8084871898391904,0.6771164300887746,0.45168,7.7112305312682965,9.300130291559244,0.2017220953789614,5.379494443245905,0.0,0.4784,0.9170100025154141,0.9902873663939329,1.0164671429904593,0.0,0.4452626413710066,2.269431596275142,0.530783816939438,3.1014863647611426,0.0,0.5936147010059579,4.897850554339279,0.0,0.7240833210758834,7.7112305312682965,0.2017220953789614,0.9170100025154141,11.901658790373489,4.727324518289391,1.1786251292669399,17.32390722132049,14.060220365963682,1.4710388215536656,21.546606232895652,24.9464517945109,1.6792900314319577,33.154105758575724,69.18192598442181,2.201192086028464,1.075741161498871,0.1441724322464721,0.65304,0.919912996129636,0.6727697873481484
0.1,eq0.10,10% equity / 90% fixed income,0.9433334446519388,0.7945927337703684,0.6455090313287674,0.9841303498954372,0.8417486051459449,0.697619692695164,0.37596,8.652726533091105,10.381821188759764,1.2211930906344617,7.777788231936137,0.0,0.40292,0.9608402012200148,1.0379100842614013,1.1957078389531728,0.0,0.4543662541921841,2.603376436900619,0.5474789770514311,3.5314669777255885,0.0,0.615141008259635,5.547564569452706,0.0,0.7548044038522855,8.652726533091105,1.2211930906344617,0.9608402012200148,13.270009810355383,7.520799856223403,1.23747464917975,19.283791004807675,20.525455744179066,1.5486437975558496,23.805294920031105,35.32883997542252,1.7712722415951607,35.91578023456879,91.47219207200997,2.3311068269504545,1.075741161498871,0.12030200466677335,0.57312,0.961051445328415,0.6921959991558728
0.2,eq0.20,20% equity / 80% fixed income,0.9854849798062817,0.8222703433002477,0.6607198702002919,1.0384292246546805,0.8784157620672032,0.7195764379348993,0.3052,9.701064230690472,11.59449792379634,2.757501372355463,11.200921359018409,0.0,0.32918,1.009579132195649,1.0901864947212527,1.4018701631527188,0.0,0.4637870673254604,2.931936869501578,0.5643988289325245,3.9978131768593212,0.0,0.6377239991259966,6.247719782829736,0.0,0.7882629806965802,9.701064230690472,2.757501372355463,1.009579132195649,14.784856700043008,11.331475405228964,1.3015468399607373,21.408608767374737,28.7450480083438,1.6358587612150175,26.463675245678644,48.190153368044676,1.8765416341809045,39.54375476432064,120.50331244166857,2.4789246365122866,1.075741161498871,0.09929742669618664,0.49084,1.0050813184767098,0.7121491680758458
0.3,eq0.30,30% equity / 70% fixed income,1.0302971560896093,0.8506298419957519,0.6756526357113604,1.098378585035043,0.9175527927039262,0.7423175244505744,0.25058,10.845454812402515,12.95247688121466,4.861449449925791,16.01449149053753,0.0,0.27044,1.0594547714313327,1.1472588164692024,1.6399698774982083,0.0,0.4734102745223107,3.2977792099277123,0.5826475853254364,4.458830116567357,0.0,0.6612808834377818,6.978432112162155,0.0,0.8223698235647134,10.845454812402515,4.861449449925791,1.0594547714313327,16.478391775515405,16.838511385185587,1.3707208304908343,23.780410540351724,39.67681459911095,1.7338858545069615,29.598441263200787,64.63323159986155,2.0000252010173787,44.695143576857475,168.02786583922756,2.678810355726009,1.075741161498871,0.08188245732426587,0.41436,1.052679625758456,0.7308399517019281
0.4,eq0.40,40% equity / 60% fixed income,1.0772644966727802,0.8789244513605553,0.689576200054724,1.163252998615764,0.95824366130306,0.7653488894881789,0.21058,12.037171269280009,14.471548563549993,7.645799806331734,22.702202276885462,0.0,0.22772,1.1113038019723214,1.209791875303032,1.8798748409848387,0.0,0.4817955887913815,3.6437261923304094,0.6011139940917475,4.947413962903916,0.0,0.6846849617839579,7.70707302007133,0.49767933935224135,0.8558470021944519,12.037171269280009,7.645799806331734,1.1113038019723214,18.410608493636264,23.71307637398299,1.4470395587245577,26.656789778710692,55.13083336962106,1.8450462936772976,33.24483874167567,86.3529641072551,2.148334541261983,50.84755149993324,232.95182406562444,2.9073684844606023,1.075741161498871,0.0680235193982843,0.34854,1.1026269475488855,0.7490445525803641
0.5,eq0.50,50% equity / 50% fixed income,1.1257454975110945,0.9065178665108271,0.7029046379493255,1.2320333198706819,0.999481954603769,0.7881539747937291,0.18288,13.309040214420452,16.169175848353593,11.143711369629674,31.94969360844015,0.0,0.1979,1.1641466047882194,1.278448977331769,2.1125523532311763,0.0,0.4899069816602886,3.9868781169855687,0.6184642179191455,5.406299061272769,0.0,0.7072839725621995,8.474172644574326,1.5065537300513823,0.8900922938637131,13.309040214420452,11.143711369629674,1.1641466047882194,20.486199049268084,32.32273720372305,1.5306198598721203,29.9652766866125,74.14720669572036,1.9719877628430047,37.841906636846474,119.64292912699925,2.3130684419447665,58.848107123699094,330.96759748935443,3.2057415728487135,1.075741161498871,0.057271769685942,0.29694,1.1532734969290546,0.7664825020753332
0.6,eq0.60,60% equity / 40% fixed income,1.175009118268366,0.9325312409839804,0.7143284064106329,1.3035020132543684,1.0400444490960044,0.8098252197867399,0.16462,14.612502387720973,18.064673116473628,15.425216015970452,44.76409352335381,0.0,0.17712,1.2181148852433195,1.3540681047281102,2.3459571562114587,0.0,0.49710281735542267,4.301564226818827,0.6324843611647816,5.83466342004369,0.0,0.7283641750245261,9.22137607044272,2.6847193419894513,0.9244519468236458,14.612502387720973,15.425216015970452,1.2181148852433195,22.711416697388625,43.00659918103285,1.6192757168755383,33.81144907656263,98.0109006635693,2.1208305896710584,43.11919920251612,165.45636017476554,2.521524758635513,69.28130447636002,505.9309250545079,3.6034607966492116,1.075741161498871,0.04902904642512105,0.25592,1.2050248562628871,0.7831417981206305
0.7,eq0.70,70% equity / 30% fixed income,1.2242136043898062,0.9562469011304354,0.7236498298504208,1.3762275667775448,1.0785474831207684,0.8292281971899458,0.15338,15.971271196338225,20.17931165999776,20.287751577859108,62.678846526825744,0.0,0.16388,1.2729548749909259,1.437478436411509,2.5321503403456918,0.0,0.5026446942227007,4.590868142527544,0.6448101021623065,6.220060877040311,0.0,0.7478625729505987,9.954369937206746,3.9552679832704065,0.9570319477545476,15.971271196338225,20.287751577859108,1.2729548749909259,25.080437836084453,55.613111352768286,1.7124122188362212,38.177153877328124,129.5500743126821,2.2881764545579575,49.55931677318996,219.57284790102906,2.76653432333426,83.51724085978535,810.663681827609,4.127181957740824,1.075741161498871,0.04288506488744897,0.22326,1.2589250692225384,0.7955891775255357
0.8,eq0.80,80% equity / 20% fixed income,1.2722473757419768,0.9766775805931291,0.7307741963329811,1.448524548040075,1.1133952866564198,0.8450596720075056,0.14594,17.345157185774397,22.536271936497297,25.616486587373238,88.04847841756906,0.0,0.15632,1.3285560177244995,1.529470455124745,2.6637491956196633,0.0,0.5075471066309356,4.822382318145593,0.6562608809153172,6.553481421090194,0.0,0.7643358781758223,10.628099827362929,5.223200940062014,0.9863466113109036,17.345157185774397,25.616486587373238,1.3285560177244995,27.670677225000077,71.33158141352384,1.8132670877549417,42.99396193541924,170.1375289147791,2.4707697383749982,57.15586826933596,289.67464963073877,3.049850714263452,100.62914365439744,1277.2246484754166,4.793449503683319,1.075741161498871,0.03849528276985954,0.19872,1.3114153290696284,0.8061414490003259
0.9,eq0.90,90% equity / 10% fixed income,1.3175477529667265,0.9924306426432559,0.7349746343337469,1.518304834010243,1.142847698772652,0.8560956014040125,0.14386,18.747952315405875,25.160338822051447,31.192899868092518,124.44448527404418,0.0,0.15226,1.382808497595856,1.6302597587625502,2.7160510213106517,0.0,0.5092987816403721,5.008626304743621,0.6629971485849526,6.850390765545634,0.0,0.775786917029667,11.232725900367445,6.386443431898487,1.0125032481993532,18.747952315405875,31.192899868092518,1.382808497595856,30.469982356663596,90.65722733241097,1.9157645598336321,48.34108599815586,219.27027118151034,2.6759741998275777,65.39319499813374,380.7920881072199,3.3721538737127137,124.49423799335673,1889.3903364783364,5.690612913558419,1.075741161498871,0.03552772247582591,0.18198,1.3628077458473304,0.8121251439104634
