k_first,k_second,first_signal,second_signal,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
0.0,0.0,income_shock,funded_ratio,0.7901705213940186,0.10000000000000007,0.624586955781492,False,0.1467,0.6965894920599401,1.4010421306011343,0.0
0.0,0.05,income_shock,funded_ratio,0.8075819455637167,0.09880641305134559,2.7441240475176043,False,0.1467,0.7154117630604423,1.443189663868338,2.1195370917361123
0.0,0.1,income_shock,funded_ratio,0.8184369614405046,0.09740012869790221,4.0086975301868,False,0.1467,0.7247144986370264,1.4668776549377034,3.384110574405308
0.0,0.2,income_shock,funded_ratio,0.8265128163261406,0.0967234861555981,4.978504697276009,False,0.1467,0.7388296610397573,1.5019698490508901,4.353917741494517
0.0,0.4,income_shock,funded_ratio,0.8218765675977971,0.09949196271895816,4.619850145046134,False,0.1467,0.757867262575027,1.5553409370531748,3.9952631892646417
0.05,0.0,income_shock,funded_ratio,0.8099577057405036,0.10014030679497796,3.158402388676662,False,0.1467,0.6695327459933714,1.4198020758401628,2.53381543289517
0.05,0.05,income_shock,funded_ratio,0.8221400954034054,0.0983620425903995,4.559284340241243,False,0.1467,0.6931854455114261,1.4519837149477863,3.934697384459751
0.05,0.1,income_shock,funded_ratio,0.8282813404978432,0.09712800440808798,5.236967771276557,False,0.1467,0.7058721275221264,1.475267619419622,4.612380815495065
0.05,0.2,income_shock,funded_ratio,0.8295815165743162,0.09701251402174792,5.3924834970446645,False,0.1467,0.7253478661268074,1.511516190264866,4.767896541263172
0.05,0.4,income_shock,funded_ratio,0.8207060203126265,0.10012129080130044,4.5254127832650815,False,0.1467,0.7480391718708955,1.5625718280725631,3.9008258274835894
0.1,0.0,income_shock,funded_ratio,0.8248143626977255,0.10105020737282273,5.143192283011078,False,0.1467,0.6366845888645364,1.4338973402392499,4.518605327229586
0.1,0.05,income_shock,funded_ratio,0.8326523692822397,0.09885753573028765,5.938005335477081,False,0.1467,0.6699452308324861,1.4610672498965227,5.313418379695589
0.1,0.1,income_shock,funded_ratio,0.8338374741200564,0.09768217137151769,5.989600334502132,False,0.1467,0.6874580592559436,1.4803871881504638,5.36501337872064
0.1,0.2,income_shock,funded_ratio,0.8283176065191281,0.09783928792230744,5.301126671859224,False,0.1467,0.7122111375084245,1.5197314193081737,4.676539716077732
0.1,0.4,income_shock,funded_ratio,0.8192868880094538,0.10090395662862256,4.423781589714548,False,0.1467,0.7405217849536191,1.5677917086963564,3.7991946339330562
0.2,0.0,income_shock,funded_ratio,0.8363594961527648,0.10370933138341365,6.890282021663174,False,0.1467,0.5706451998271669,1.4603172612582331,6.265695065881682
0.2,0.05,income_shock,funded_ratio,0.8429168274355823,0.10092827085378384,7.438111322022323,False,0.1467,0.6234551184695557,1.4830173552786978,6.813524366240831
0.2,0.1,income_shock,funded_ratio,0.8410355897693333,0.09985798358571413,7.08990004560992,False,0.1467,0.6524932256541475,1.4984749259920358,6.465313089828428
0.2,0.2,income_shock,funded_ratio,0.8299838515020631,0.10008639361820332,5.703470136544464,False,0.1467,0.6887013562781573,1.5285701022620324,5.078883180762972
0.2,0.4,income_shock,funded_ratio,0.8220891783885426,0.10253807579300182,4.9470793569257765,False,0.1467,0.7264176253841212,1.5732386390863327,4.3224924011442845
0.4,0.0,income_shock,funded_ratio,0.8297844003112388,0.11262224091749945,6.976088753419973,False,0.1487,0.5148467826296683,1.5385435065728683,6.351501797638481
0.4,0.05,income_shock,funded_ratio,0.8409313501133385,0.1081507422720359,7.940246451290611,False,0.1467,0.5671928990418919,1.5365469814536532,7.315659495509119
0.4,0.1,income_shock,funded_ratio,0.8427425434855951,0.10602288181471844,7.948646812196758,False,0.1467,0.6000814244713082,1.5454109946540835,7.324059856415266
0.4,0.2,income_shock,funded_ratio,0.8315511930730963,0.10490372068883266,6.399199105457365,False,0.1467,0.6464794109103,1.5622315379702845,5.774612149675873
0.4,0.4,income_shock,funded_ratio,0.8268848189628395,0.10563829013571144,5.877756532605849,False,0.1467,0.6954754409903905,1.5883809350255425,5.253169576824357
