family,label,train_window,test_window,cec_transferred,cec_in_sample,cec_benchmark,benchmark,in_sample_gain_pct,transfer_gain_pct,ceiling_gain_pct,retained_share
glide,Glide path (equity share by age),1890-1955,1956-2020,1.136914498733362,1.152395958803996,1.1328896414105116,international_equity,1.091751999506907,0.355273556728708,1.72181973252028,0.3254159890608566
glide,Glide path (equity share by age),1956-2020,1890-1955,1.0099134322037167,1.0276464630755355,1.0165482769361323,international_equity,1.72181973252028,-0.652683682905153,1.091751999506907,-0.3790662115074033
simplex,Full simplex (four assets by age),1890-1955,1956-2020,1.1363231457019285,1.16029174244822,1.1328896414105116,international_equity,1.3413783538312574,0.30307491267569375,2.418779379392255,0.22594289807200807
simplex,Full simplex (four assets by age),1956-2020,1890-1955,0.9977610866346017,1.0301840354791982,1.0165482769361323,international_equity,2.418779379392255,-1.8481355709101144,1.3413783538312574,-0.7640777768555637
