leisure,leisure_pct,optimal_age,cec_at_optimum,runner_up_age,margin_over_runner_up_pct,at_grid_floor,at_grid_ceiling,claim_arm
1.0,0.0,52,0.8059382018461461,55,0.29933171622675836,False,False,unadjusted
1.05,5.000000000000004,52,0.7760448938758346,50,0.24260952914900713,False,False,unadjusted
1.1,10.000000000000009,50,0.7477328189180255,52,0.034001626954283104,True,False,unadjusted
1.15,14.999999999999991,50,0.7222629717133788,52,0.2718256284069298,True,False,unadjusted
1.2,19.999999999999996,50,0.6978454543490169,52,0.4760338617189719,True,False,unadjusted
1.25,25.0,50,0.6745246213288867,52,0.6510601082212464,True,False,unadjusted
1.3,30.000000000000004,50,0.652311898815433,52,0.8009914720757294,True,False,unadjusted
1.4,39.99999999999999,50,0.6111449643225004,52,1.0397153141465054,True,False,unadjusted
1.5,50.0,50,0.5740805811239947,52,1.216040102351923,True,False,unadjusted
1.75,75.0,50,0.49682178483378137,52,1.4865018193855883,True,False,unadjusted
2.0,100.0,50,0.43681158950903565,52,1.6247230610465735,True,False,unadjusted
1.0,0.0,60,0.7667754469071097,58,0.8909906027288583,False,False,actuarial
1.05,5.000000000000004,60,0.7344579039059107,58,0.39150369921043815,False,False,actuarial
1.1,10.000000000000009,58,0.7044825599093443,60,0.02429738376903412,False,False,actuarial
1.15,14.999999999999991,58,0.6787236565631796,60,0.37201677621867546,False,False,actuarial
1.2,19.999999999999996,58,0.654323941993504,60,0.6640317434749354,False,False,actuarial
1.25,25.0,58,0.6312584126729199,60,0.9096504469934485,False,False,actuarial
1.3,30.000000000000004,58,0.6094810482912018,60,1.1167203054710306,False,False,actuarial
1.4,39.99999999999999,58,0.5695480985992855,55,0.27989944144659606,False,False,actuarial
1.5,50.0,55,0.5365154070484014,58,0.47249593088114494,False,False,actuarial
1.75,75.0,55,0.4684721935262312,52,1.1627082993564075,False,False,actuarial
2.0,100.0,52,0.4152584930448833,55,0.34466802892390014,False,False,actuarial
